User ID,Excel?,BO?,Tableau?,3 (Q15_4),Other?,EXPERIENCE WITH: Excel,EXPERIENCE WITH: Power Query,EXPERIENCE WITH: Power Pivot,EXPERIENCE WITH: Power View,Connect to data sources,Formatted reports design,Dashboard design,Using visualizations to tell data stories,Data modelling and transformation,DAX functions / M Language / R Visuals,Group
1,1,0,0,0,0,5,4,4,4,0,2,3,4,5,0,1
2,1,1,0,0,0,5,10,4,8,1,2,3,4,5,6,2
3,1,1,0,0,1,5,2,2,2,0,0,0,0,0,0,0
4,1,1,0,0,0,4,4,4,4,0,2,0,4,0,0,1
5,1,1,0,0,0,4,0,0,0,1,2,0,0,5,0,0
6,1,1,0,0,0,5,10,10,10,1,2,0,0,0,0,1
7,1,0,0,0,0,5,0,0,0,1,2,3,0,0,0,0
8,1,0,0,0,0,4,0,0,0,1,2,3,4,5,6,2
9,1,1,0,0,1,5,4,4,4,1,0,3,4,0,0,1
10,0,0,0,0,1,3,2,2,2,1,0,0,4,0,0,0
11,1,0,0,0,0,3,2,2,2,1,2,3,0,0,0,0
12,1,1,0,0,0,5,2,8,2,1,2,3,4,5,6,2
13,1,1,0,0,0,5,0,0,0,1,2,3,4,5,0,0
14,1,0,0,0,1,5,2,2,2,1,2,3,4,5,6,2
15,1,1,1,0,0,5,2,6,2,1,2,3,4,0,0,1
16,1,0,0,0,0,5,2,2,4,1,2,3,0,5,0,0
17,1,1,0,0,0,5,2,2,2,0,2,0,4,0,0,0
18,1,0,0,0,0,5,4,4,4,0,0,0,4,5,0,1
19,1,1,0,0,0,5,6,4,4,1,0,3,4,0,0,1
20,1,1,0,0,0,2,2,2,2,1,2,3,4,5,0,0
21,1,0,0,0,1,5,6,6,6,1,2,3,4,5,6,2
22,1,1,0,0,0,4,4,4,4,1,2,3,4,0,0,1
23,1,1,0,0,0,5,4,10,4,1,0,0,4,5,6,2
24,1,0,0,0,0,3,0,0,0,1,0,3,4,0,0,0
25,1,1,0,0,1,4,6,6,4,1,2,3,0,5,0,1
26,1,1,0,0,0,5,2,2,2,0,2,3,0,0,0,0
27,1,0,0,0,0,5,4,4,4,1,0,0,0,5,0,1
28,1,0,0,0,0,5,2,4,2,1,2,3,4,5,6,2
29,1,0,0,0,0,5,2,2,2,0,2,0,0,0,0,0
30,1,0,0,0,0,5,2,6,2,1,2,0,4,0,0,0
31,1,2,0,0,0,4,6,8,4,0,0,3,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,0,0,0,0,3,2,2,2,1,2,3,0,0,0,0
34,1,0,0,0,0,5,0,0,0,1,2,0,0,0,0,0
35,1,0,0,0,0,5,2,2,0,0,2,3,0,0,0,0
36,0,0,0,0,0,3,2,2,2,1,0,3,4,5,0,1
37,1,2,0,0,3,5,0,2,0,0,2,3,4,0,0,0
38,1,0,0,0,0,5,2,2,0,0,2,0,4,0,0,0
39,1,0,0,0,0,5,2,2,2,1,2,3,4,5,0,1
40,1,2,3,0,0,4,6,8,6,1,2,3,4,5,6,2
41,1,2,0,0,0,5,2,2,2,0,2,3,4,5,0,1
42,1,2,0,0,0,5,2,2,2,1,2,3,4,5,0,1
43,1,0,0,0,0,5,2,2,2,1,2,3,4,5,0,1
44,0,2,0,0,0,5,2,2,2,1,2,3,0,0,0,0
45,1,0,0,0,0,4,2,2,2,1,2,0,0,0,0,0
46,1,0,3,0,0,5,6,8,6,1,2,3,4,5,6,2
47,1,2,0,3,0,5,8,8,8,1,2,3,4,5,6,2
48,1,0,0,0,0,5,0,0,0,1,2,3,4,5,0,1
49,1,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0
50,1,0,0,0,0,4,2,2,2,1,2,3,0,0,0,0
51,1,2,0,3,0,5,1,1,6,1,2,3,4,5,6,2
52,0,0,0,0,0,3,2,2,2,0,2,3,4,0,0,0
53,1,0,0,0,0,3,2,2,2,0,2,3,4,0,0,0
54,1,2,0,0,0,5,4,4,2,1,2,3,4,5,0,1
55,1,2,0,0,3,4,2,2,2,1,0,3,0,5,0,1
56,1,2,0,0,0,4,2,2,2,1,2,3,4,5,0,1
57,0,2,0,0,0,4,2,2,2,1,2,3,0,0,0,0
58,1,2,0,0,0,5,2,1,4,1,2,3,4,5,6,2
59,1,2,0,0,0,5,2,2,2,1,0,0,4,0,0,0
60,1,2,0,0,0,5,0,0,0,1,2,0,0,0,0,0
61,1,2,0,0,3,5,8,0,0,0,0,3,4,5,0,1
62,1,2,0,0,0,5,6,6,6,1,2,3,4,5,6,2
63,1,2,0,0,0,5,1,1,2,1,2,3,4,5,6,2
64,1,2,0,0,0,4,2,2,2,1,2,0,4,5,0,1
65,1,2,0,0,0,5,6,4,2,1,2,3,4,5,0,1
66,0,2,0,0,0,5,2,2,2,1,0,0,0,0,0,0
67,1,0,0,0,0,2,2,2,2,1,0,3,0,5,0,1
68,0,2,0,0,3,3,2,2,2,1,2,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1,0,0,0,0,0,0,0,0,1,2,0,4,0,0,0
71,1,2,0,0,0,5,2,2,2,1,2,3,4,5,6,2
72,1,2,0,0,0,5,4,4,2,1,2,3,4,5,0,1
73,1,0,4,0,5,4.24,0,4.8,3.39,0,1,1,1,1,1,1
74,1,3,0,0,0,4.24,3.81,6,4.52,0,1,1,1,1,1,1
75,1,0,0,0,0,5.3,1.27,1.2,1.13,1,1,1,1,1,1,0
76,1,3,0,0,0,5.3,1.27,1.2,1.13,1,1,0,0,0,0,0
77,1,3,4,4,0,5.3,6.35,6,5.65,0,0,0,0,0,1,2
78,1,3,0,0,0,4.24,1.27,6,1.13,1,1,1,0,0,0,1
79,1,3,0,0,0,5.3,1.27,1.2,1.13,1,0,0,0,0,0,0
80,1,3,0,0,0,5.3,6.35,2.4,5.65,0,1,0,1,0,0,2
81,1,3,4,0,0,5.3,1.27,1.2,1.13,1,1,1,1,0,0,0
82,1,0,0,0,2,5.3,1.27,1.2,1.13,1,1,1,1,0,0,0
83,1,0,0,0,2,5.3,1.27,1.2,1.13,0,0,0,1,1,0,0
84,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
85,1,3,0,0,2,5.3,0,0,0,1,1,1,1,1,1,0
86,1,0,0,0,2,5.3,1.27,2.4,2.26,1,1,1,1,0,0,0
87,1,0,0,0,0,3.18,1.27,1.2,1.13,0,0,0,0,0,0,0
88,1,3,4,0,0,5.3,1.27,1.2,1.13,1,1,1,1,1,0,0
89,1,0,0,0,0,3.18,1.27,1.2,1.13,0,1,1,1,1,0,0
90,1,0,0,0,0,4.24,0,0,0,1,1,1,1,1,0,0
91,1,3,0,0,0,5.3,6.35,3.6,5.65,1,0,0,0,0,0,2
92,1,3,0,0,5,5.3,6.35,6,5.65,1,0,0,0,0,1,2
93,1,3,4,0,0,5.3,0,0,0,0,1,0,0,0,0,0
94,0,3,0,0,0,5.3,1.27,2.4,1.13,1,1,1,1,1,1,0
95,1,3,0,0,0,5.3,2.54,2.4,2.26,0,1,1,1,1,0,1
96,1,0,0,0,0,5.3,0,0,0,0,1,0,1,0,0,0
97,1,0,0,0,0,5.3,0,0,0,1,1,1,0,0,0,0
98,1,3,0,0,2,5.3,3.81,1.2,1.13,0,0,0,0,1,1,1
99,0,3,0,0,0,5.3,6.35,1.2,5.65,0,0,0,0,0,1,2
100,1,0,0,0,0,5.3,0,4.8,0,0,1,1,0,0,0,1
101,1,0,0,0,0,5.3,1.27,3.6,1.13,1,1,1,1,1,0,1
102,1,3,4,0,2,5.3,5.08,6,0,0,1,1,1,1,1,1
103,1,3,0,0,2,5.3,6.35,6,5.65,0,1,1,1,1,1,2
104,1,0,4,0,0,5.3,1.27,1.2,1.13,0,1,1,0,0,0,0
105,1,3,0,0,0,5.3,0,0,0,0,1,0,0,0,0,0
106,1,0,0,0,2,5.3,6.35,0,0,1,1,0,1,1,0,0
107,1,3,0,0,0,5.3,1.27,1.2,1.13,1,0,1,1,1,0,0
108,1,3,0,0,0,4.24,1.27,1.2,1.13,1,1,1,1,1,1,0
109,1,3,0,0,2,5.3,3.81,6,3.39,1,1,1,1,1,1,2
110,1,3,0,0,2,5.3,5.08,2.4,2.26,1,1,1,1,1,0,1
111,1,0,0,0,2,3.18,1.27,1.2,1.13,1,0,1,1,0,0,0
112,1,0,0,0,0,5.3,1.27,1.2,3.39,1,1,1,1,1,1,0
113,1,3,0,0,0,5.3,0,6,0,1,0,1,1,0,0,1
114,1,3,0,0,0,5.3,1.27,1.2,1.13,1,1,1,1,1,1,0
115,1,0,0,0,0,4.24,1.27,1.2,1.13,1,1,1,0,0,0,0
116,1,3,0,4,0,5.3,5.08,3.6,3.39,0,0,0,0,1,1,1
117,1,0,0,0,0,4.24,1.27,1.2,1.13,1,1,1,1,1,0,0
118,1,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0
119,1,3,0,0,0,5.3,2.54,2.4,4.52,1,1,1,1,0,0,1
120,1,0,4,0,0,5.3,0,4.8,0,1,0,0,0,1,1,1
121,1,3,0,0,0,5.3,1.27,1.2,1.13,1,1,1,1,1,0,0
122,1,0,4,0,0,5.3,1.27,1.2,1.13,1,1,1,1,1,0,0
123,1,3,0,0,0,5.3,2.54,2.4,2.26,1,0,0,1,0,0,1
124,1,0,0,0,0,5.3,1.27,1.2,1.13,0,0,1,0,1,0,0
125,1,0,0,0,0,5.3,1.27,1.2,1.13,1,1,1,0,1,0,0
126,1,3,0,0,0,5.3,3.81,2.4,3.39,0,1,0,1,1,0,1
127,1,3,0,0,0,4.24,1.27,1.2,1.13,1,1,1,1,1,0,0
128,1,3,0,0,0,5.3,3.81,4.8,3.39,0,0,0,0,1,1,1
129,1,3,0,0,0,5.3,1.27,1.2,1.13,1,1,1,1,1,1,0
130,1,3,0,0,0,5.3,2.54,2.4,2.26,1,1,1,1,1,0,1
131,1,0,0,0,0,5.3,1.27,1.2,1.13,0,0,0,0,0,0,0
132,1,0,0,0,0,5.3,0,0,0,0,1,0,0,0,0,0
133,1,3,0,0,0,5.3,2.54,2.4,2.26,1,1,1,1,1,1,1
134,1,3,0,0,0,5.3,2.54,2.4,2.26,0,1,0,1,1,0,1
135,1,0,0,0,0,4.24,3.81,3.6,2.26,1,1,1,1,1,1,1
136,1,0,0,0,0,5.3,0,0,0,0,1,0,0,0,0,0
137,1,3,0,0,0,5.3,1.27,1.2,1.13,1,1,0,0,0,0,0
138,0,0,0,0,2,5.3,0,0,0,1,1,1,1,1,1,0
139,1,3,0,0,0,5.3,1.27,1.2,1.13,1,1,1,1,0,1,0
